"_id","clone_url","commit_size","full_name","issue_size","repo_size","status"
"dianping/cat","https://github.com/dianping/cat.git","7310","dianping/cat","1966","113367","false"
"elunez/eladmin","https://github.com/elunez/eladmin.git","437","elunez/eladmin","606","7481","true"
"oracle/graal","https://github.com/oracle/graal.git","55817","oracle/graal","2553","198018","false"
"brettwooldridge/HikariCP","https://github.com/brettwooldridge/HikariCP.git","2786","brettwooldridge/HikariCP","1449","4647","true"
"android10/Android-CleanArchitecture","https://github.com/android10/Android-CleanArchitecture.git","248","android10/Android-CleanArchitecture","162","5191","true"
"winterbe/java8-tutorial","https://github.com/winterbe/java8-tutorial.git","149","winterbe/java8-tutorial","35","157","false"
"EnterpriseQualityCoding/FizzBuzzEnterpriseEdition","https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git","184","EnterpriseQualityCoding/FizzBuzzEnterpriseEdition","180","340","false"
"openzipkin/zipkin","https://github.com/openzipkin/zipkin.git","2626","openzipkin/zipkin","3160","64352","true"
"JeffLi1993/springboot-learning-example","https://github.com/JeffLi1993/springboot-learning-example.git","166","JeffLi1993/springboot-learning-example","83","450","false"
"lottie-react-native/lottie-react-native","https://github.com/lottie-react-native/lottie-react-native.git","487","lottie-react-native/lottie-react-native","624","192363","false"
"apache/rocketmq","https://github.com/apache/rocketmq.git","1480","apache/rocketmq","2368","9113","true"
"hdodenhof/CircleImageView","https://github.com/hdodenhof/CircleImageView.git","159","hdodenhof/CircleImageView","402","1000","false"
"apache/shardingsphere","https://github.com/apache/shardingsphere.git","28639","apache/shardingsphere","9810","396272","false"
"LMAX-Exchange/disruptor","https://github.com/LMAX-Exchange/disruptor.git","1185","LMAX-Exchange/disruptor","350","9358","true"
"lgvalle/Material-Animations","https://github.com/lgvalle/Material-Animations.git","76","lgvalle/Material-Animations","45","8692","false"
"TeamNewPipe/NewPipe","https://github.com/TeamNewPipe/NewPipe.git","8466","TeamNewPipe/NewPipe","5038","49697","true"
"alibaba/ARouter","https://github.com/alibaba/ARouter.git","292","alibaba/ARouter","867","26563","true"
"dyc87112/SpringBoot-Learning","https://github.com/dyc87112/SpringBoot-Learning.git","402","dyc87112/SpringBoot-Learning","16","34270","true"
"Tencent/QMUI_Android","https://github.com/Tencent/QMUI_Android.git","825","Tencent/QMUI_Android","717","17449","true"
"orhanobut/logger","https://github.com/orhanobut/logger.git","144","orhanobut/logger","183","1875","false"
"Bigkoo/Android-PickerView","https://github.com/Bigkoo/Android-PickerView.git","490","Bigkoo/Android-PickerView","583","6384","true"
"Curzibn/Luban","https://github.com/Curzibn/Luban.git","187","Curzibn/Luban","253","5029","false"
"greenrobot/greenDAO","https://github.com/greenrobot/greenDAO.git","883","greenrobot/greenDAO","842","7357","true"
"facebook/stetho","https://github.com/facebook/stetho.git","588","facebook/stetho","610","2347","true"
"material-components/material-components-android","https://github.com/material-components/material-components-android.git","3807","material-components/material-components-android","1440","58720","true"
"daimajia/AndroidSwipeLayout","https://github.com/daimajia/AndroidSwipeLayout.git","175","daimajia/AndroidSwipeLayout","184","399","false"
"eclipse/deeplearning4j","https://github.com/eclipse/deeplearning4j.git","1292","eclipse/deeplearning4j","8516","676773","false"
"Konloch/bytecode-viewer","https://github.com/Konloch/bytecode-viewer.git","297","Konloch/bytecode-viewer","220","574390","false"
"eclipse-vertx/vert.x","https://github.com/eclipse-vertx/vert.x.git","4979","eclipse-vertx/vert.x","3609","110176","false"
"zhihu/Matisse","https://github.com/zhihu/Matisse.git","223","zhihu/Matisse","410","1991","true"
"prestodb/presto","https://github.com/prestodb/presto.git","18726","prestodb/presto","14938","149165","false"
"medcl/elasticsearch-analysis-ik","https://github.com/medcl/elasticsearch-analysis-ik.git","252","medcl/elasticsearch-analysis-ik","567","7584","true"
"daimajia/AndroidViewAnimations","https://github.com/daimajia/AndroidViewAnimations.git","145","daimajia/AndroidViewAnimations","103","297","false"
"mockito/mockito","https://github.com/mockito/mockito.git","5516","mockito/mockito","1970","47088","true"
"arduino/Arduino","https://github.com/arduino/Arduino.git","7300","arduino/Arduino","10174","1383591","false"
"iBotPeaches/Apktool","https://github.com/iBotPeaches/Apktool.git","1766","iBotPeaches/Apktool","2478","185847","false"
"android-hacker/VirtualXposed","https://github.com/android-hacker/VirtualXposed.git","1630","android-hacker/VirtualXposed","918","49734","true"
"apache/hadoop","https://github.com/apache/hadoop.git","24846","apache/hadoop","2494","511591","false"
"JessYanCoding/AndroidAutoSize","https://github.com/JessYanCoding/AndroidAutoSize.git","331","JessYanCoding/AndroidAutoSize","298","3121","true"
"pinpoint-apm/pinpoint","https://github.com/pinpoint-apm/pinpoint.git","11731","pinpoint-apm/pinpoint","7597","230823","false"
"Tencent/VasSonic","https://github.com/Tencent/VasSonic.git","372","Tencent/VasSonic","315","16215","true"
"google/tink","https://github.com/google/tink.git","3422","google/tink","407","32606","true"
"jfeinstein10/SlidingMenu","https://github.com/jfeinstein10/SlidingMenu.git","336","jfeinstein10/SlidingMenu","468","32085","true"
"androidannotations/androidannotations","https://github.com/androidannotations/androidannotations.git","2932","androidannotations/androidannotations","2244","22499","true"
"realm/realm-java","https://github.com/realm/realm-java.git","8661","realm/realm-java","6953","64576","true"
"youth5201314/banner","https://github.com/youth5201314/banner.git","216","youth5201314/banner","908","11201","true"
